Gene,mannwhitneyu pvalue,sidak,holm-sidak,holm,simes-hochberg,hommel,fdr_bh,fdr_by,fdr_tsbh,fdr_tsbky,l2fc
Chst10,0.011263988709201414,1.0,1.0,1.0,0.5,0.5,0.02326408669250619,0.2458656215631425,0.010214930801550648,0.010855455016774616,-0.07626097560975609
Chst11,0.30996766818004307,1.0,1.0,1.0,0.5,0.5,0.35234903882699464,1.0,0.1547114699658513,0.1644126069398757,-0.004036585365853718
Chst12,0.05414314240923569,1.0,1.0,1.0,0.5,0.5,0.08699239482741289,0.9193758391726506,0.0381971278377946,0.040592267443478366,-0.06367439024390187
Chst13,0.00012575852245927044,0.9358149042365165,0.8718779489037966,1.0,0.5,0.5,0.0004989559441933878,0.005273197051455636,0.0002190844846103329,0.00023282211243170578,0.09300182926829237
Chst14,0.03449503523456036,1.0,1.0,1.0,0.5,0.5,0.05949643961802588,0.6287858750196247,0.026124043538426952,0.027762143963286176,-0.06581097560975735
Chst15,3.312589498977324e-09,7.232446450877728e-05,6.837282319793747e-05,6.837515984839093e-05,6.836853466939298e-05,6.400916688873883e-05,6.047414642196563e-08,6.391187324506706e-07,2.6553340741384283e-08,2.8218360120406207e-08,-0.2322079268292665
Chst2,0.11239340823038085,1.0,1.0,1.0,0.5,0.5,0.15793610479307282,1.0,0.06934750557164006,0.07369592040155468,-0.05223292682926761
Chst3,0.02136408748463663,1.0,1.0,1.0,0.5,0.5,0.03984664342185994,0.4211177460611971,0.01749609647730014,0.018593184033087035,-0.06929268292682966
Chst4,0.0037025359720409016,1.0,1.0,1.0,0.5,0.5,0.009111944365818423,0.09629923988687547,0.004000925649679455,0.0042518025094171,0.11035304878048713
Chst5,7.592301466796397e-05,0.8094357811414699,0.7180236646096327,1.0,0.5,0.4997100667289544,0.0003210390729236423,0.003392889317071365,0.00014096370761742963,0.00014980279521878748,0.13381646341463327
Chst7,0.006317266023220159,1.0,1.0,1.0,0.5,0.5,0.01437103884536008,0.1518797812664909,0.006310119511334024,0.006705793689308202,0.11609207317073
Chst8,0.42877694103194275,1.0,1.0,1.0,0.5,0.5,0.4488864851738281,1.0,0.1970996946671013,0.2094587727362708,-0.011717073170732561
Chst9,0.00024971667812823437,0.995716542765862,0.9806394490773703,1.0,0.5,0.5,0.000901920707485342,0.009531914932984806,0.0003960206019356038,0.0004208529566715575,-0.10650304878048811
Chsy1,0.00030814498246743976,0.9988043608292845,0.9918838351558532,1.0,0.5,0.5,0.0010804423596994994,0.011418614271938505,0.0004744069296711139,0.000504154475907871,-0.13201951219512154
Chsy3,0.14610625315836906,1.0,1.0,1.0,0.5,0.5,0.19481973548800763,1.0,0.08554258514809605,0.09090650765375767,-0.03378292682927153
Chtf18,3.6091990415480882e-06,0.07577838597654263,0.06454269582203087,0.06671965348205795,0.06671243508397487,0.050344717430554284,2.349947235082565e-05,0.0002483532860029593,1.0318285308572203e-05,1.0965290337595692e-05,0.15019024390243985
Chtf8,0.37761896863176575,1.0,1.0,1.0,0.5,0.5,0.40908063440921305,1.0,0.17962150966754262,0.19088462331484035,-0.008740853658537162
Chuk,0.0021347057186726468,1.0,0.9999999999997901,1.0,0.5,0.5,0.005694054995652367,0.060177405166382224,0.002500178860644831,0.002656951836766312,0.08562378048780594
Churc1,0.0026235364410034747,1.0,0.9999999999999994,1.0,0.5,0.5,0.006789458982876666,0.0717541408337403,0.0029811552289474488,0.0031680876860124075,-0.1301829268292689
Ciao1,0.3633498353530924,1.0,1.0,1.0,0.5,0.5,0.3971869753854323,1.0,0.17439917253000548,0.1853348210714066,0.016433536585365616
Ciapin1,0.20693288824661316,1.0,1.0,1.0,0.5,0.5,0.2571104228638439,1.0,0.11289354328092294,0.1199724995282711,0.04481036585365672
Cib1,0.011405149184305009,1.0,1.0,1.0,0.5,0.5,0.023509563128890864,0.24845993000982936,0.010322716026228666,0.010969998882092583,0.12297378048780416
